Year,Sightings
2012,2626
2013,2425
2011,1764
2010,1597
2008,1498
2007,1446
2009,1360
2005,1272
2004,1239
2006,1110
2003,1083
2002,964
2001,949
1999,884
2000,857
2014,855
1998,498
1997,376
1996,180
1995,165
1994,132
1978,124
1993,97
1980,94
1989,94
1976,91
1977,91
1991,91
1975,88
1979,85
1988,81
1992,81
1974,80
1968,78
1973,78
1990,75
1965,75
1985,65
1967,64
1987,59
1984,58
1972,58
1966,57
1982,56
1969,54
1981,53
1986,52
1971,48
1983,47
1970,44
1963,34
1960,28
1964,27
1957,24
1962,22
1954,19
1961,18
1958,17
1959,16
1956,14
1952,12
1947,11
1955,10
1950,10
1953,7
1949,6
1951,5
1945,4
1946,3
1944,3
1948,3
1939,2
1942,1
1920,1
1931,1
1941,1
1929,1
1910,1
